2025-09-27 22:11:08 | INFO | REQUEST | GET /login | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-27 22:11:08 | INFO | RESPONSE | GET /login | Status: 200 | Time: 0.027s
2025-09-27 22:11:17 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-27 22:11:17 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.018s
2025-09-27 22:11:17 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-27 22:15:50 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:15:50 | INFO | RESPONSE | GET /dashboard | Status: 302 | Time: 0.048s
2025-09-27 22:16:39 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:16:39 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.063s
2025-09-27 22:16:40 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:18:31 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:18:31 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.011s
2025-09-27 22:18:31 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:34:39 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:34:39 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.007s
2025-09-27 22:34:40 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:36:06 | INFO | REQUEST | GET /build-history | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:36:06 | INFO | RESPONSE | GET /build-history | Status: 404 | Time: 0.108s
2025-09-27 22:37:38 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:37:38 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.005s
2025-09-27 22:37:38 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:40:00 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:40:00 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.006s
2025-09-27 22:40:00 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:42:37 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:42:37 | INFO | RESPONSE | GET /dashboard | Status: 302 | Time: 0.004s
2025-09-27 22:52:16 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:52:16 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.022s
